Date,Open,High,Low,Close,Volume,OI,Acutal Open,Range High,Range Low,Range,Gap Up/Down,Trend,Trend Strength,5 Candle Strength,10 Candle Strength,50 Candle Strength,10 Candle,10 MA Trend,50 Candle,50 MA Trend
2025-04-25T00:00:00+05:30,1475.5,1501.7,1463.5,1480.2,8329979,0,1471.4,1501.7,1463.5,38.2,4.1,UP,8.8,60.7,51.4,-435.45,1437.205,5.14,1632.134,-8.709
2025-04-24T00:00:00+05:30,1469.9,1482.9,1461.5,1471.4,7114292,0,1474.9,1482.9,1461.5,21.4,-5,DOWN,-3.5,58.3,74.65,-425.65,1432.065,7.465,1640.843,-8.513
2025-04-23T00:00:00+05:30,1446,1487.8,1439.6,1474.9,11136642,0,1422.8,1487.8,1422.8,65,23.2,UP,52.1,48.9,23.25,-423.9,1424.6,2.325,1649.356,-8.478
2025-04-22T00:00:00+05:30,1440,1440,1419.3,1422.8,9399738,0,1451,1451,1419.3,31.7,-11,DOWN,-28.2,13.35,-73.7,-440.5,1422.275,-7.37,1657.834,-8.81
2025-04-21T00:00:00+05:30,1410,1471.8,1410,1451,15648970,0,1419.5,1471.8,1410,61.8,-9.5,UP,31.5,47.3,-99.15,-400.35,1429.645,-9.915,1666.644,-8.007
2025-04-17T00:00:00+05:30,1398,1429.8,1378.3,1419.5,14264227,0,1413.1,1429.8,1378.3,51.5,-15.1,UP,6.4,-9.3,-107,-460.3,1439.56,-10.7,1674.651,-9.206
2025-04-16T00:00:00+05:30,1425,1427.5,1396.8,1413.1,12022740,0,1426,1427.5,1396.8,30.7,-1,DOWN,-12.9,16.35,-157.55,-446.85,1450.26,-15.755,1683.857,-8.937
2025-04-15T00:00:00+05:30,1445.6,1447.7,1409,1426,10178530,0,1409.45,1447.7,1409,38.7,36.15,UP,16.55,-25.65,-177.55,-455.25,1466.015,-17.755,1692.794,-9.105
2025-04-11T00:00:00+05:30,1411.25,1438.8,1397.05,1409.45,12567440,0,1403.7,1438.8,1397.05,41.75,7.55,UP,5.75,-87.05,-190,-420.3,1483.77,-19,1701.899,-8.406
2025-04-09T00:00:00+05:30,1405.05,1409.45,1381.9,1403.7,8546854,0,1428.8,1428.8,1381.9,46.9,-23.75,DOWN,-25.1,-146.45,-224.75,-418.3,1502.77,-22.475,1710.305,-8.366
2025-04-08T00:00:00+05:30,1431,1456.5,1415,1428.8,12805001,0,1396.75,1456.5,1396.75,59.75,34.25,UP,32.05,-97.7,-163.95,-446.65,1525.245,-16.395,1718.671,-8.933
2025-04-07T00:00:00+05:30,1352,1405.9,1307,1396.75,21715252,0,1451.65,1451.65,1307,144.65,-99.65,DOWN,-54.9,-173.9,-195.8,-468.7,1541.64,-19.58,1727.604,-9.374
2025-04-04T00:00:00+05:30,1460.5,1472,1448,1451.65,9590254,0,1496.5,1496.5,1448,48.5,-36,DOWN,-44.85,-151.9,-163.9,-404.8,1561.22,-16.39,1736.978,-8.096
2025-04-03T00:00:00+05:30,1534.65,1534.65,1485.05,1496.5,10459504,0,1550.15,1550.15,1485.05,65.1,-15.5,DOWN,-53.65,-102.95,-90.05,-304.2,1577.61,-9.005,1745.074,-6.084
2025-04-02T00:00:00+05:30,1535.2,1555.65,1535.2,1550.15,6193478,0,1526.5,1555.65,1526.5,29.15,8.7,UP,23.65,-78.3,-59.2,-263.15,1586.615,-5.92,1751.158,-5.263
2025-04-01T00:00:00+05:30,1539.25,1547.4,1517.85,1526.5,12680733,0,1570.65,1570.65,1517.85,52.8,-31.4,DOWN,-44.15,-66.25,-63.55,-288.95,1592.535,-6.355,1756.421,
2025-03-28T00:00:00+05:30,1590,1598.45,1560,1570.65,6799047,0,1603.55,1603.55,1560,43.55,-13.55,DOWN,-32.9,-21.9,-9.2,-357.8,1598.89,,,
2025-03-27T00:00:00+05:30,1595.55,1619.95,1586,1603.55,9426573,0,1599.45,1619.95,1586,33.95,-3.9,UP,4.1,,,-346.1,,,,
2025-03-26T00:00:00+05:30,1626,1637.75,1595,1599.45,6651302,0,1628.45,1637.75,1595,42.75,-2.45,DOWN,-29,,,-340.6,,,,
2025-03-25T00:00:00+05:30,1605,1636.15,1605,1628.45,9890140,0,1592.75,1636.15,1592.75,43.4,12.25,UP,35.7,,,-333.75,,,,
2025-03-24T00:00:00+05:30,1597.95,1607.1,1572.7,1592.75,8857726,0,1592.55,1607.1,1572.7,34.4,5.4,UP,0.2,,,-374.2,,,,
2025-03-21T00:00:00+05:30,1577.95,1603.9,1563.65,1592.55,10074677,0,1615.55,1615.55,1563.65,51.9,-37.6,DOWN,-23,,,-324.75,,,,
2025-03-20T00:00:00+05:30,1592,1631.9,1592,1615.55,7186750,0,1586.55,1631.9,1586.55,45.35,5.45,UP,29,,,-317.6,,,,
2025-03-19T00:00:00+05:30,1603,1603,1572.8,1586.55,7387068,0,1609.35,1609.35,1572.8,36.55,-6.35,DOWN,-22.8,,,-344.3,,,,
2025-03-18T00:00:00+05:30,1597.65,1612.9,1582.35,1609.35,6298054,0,1590.05,1612.9,1582.35,30.55,7.6,UP,19.3,,,-328.5,,,,
2025-03-17T00:00:00+05:30,1545.15,1594,1545.15,1590.05,7526032,0,1579.85,1594,1545.15,48.85,-34.7,UP,10.2,,,-348.7,,,,
2025-03-13T00:00:00+05:30,1599.25,1606.05,1570.3,1579.85,7822888,0,1590.85,1606.05,1570.3,35.75,8.4,DOWN,-11,,,-378,,,,
2025-03-12T00:00:00+05:30,1636.9,1636.9,1563.8,1590.85,14870008,0,1661.6,1661.6,1563.8,97.8,-24.7,DOWN,-70.75,,,-291.65,,,,
2025-03-11T00:00:00+05:30,1680,1680,1637.05,1661.6,12671234,0,1701.45,1701.45,1637.05,64.4,-21.45,DOWN,-39.85,,,-218.4,,,,
2025-03-10T00:00:00+05:30,1686,1719,1676.2,1701.45,7558981,0,1686,1719,1676.2,42.8,0,UP,15.45,,,-204.55,,,,
2025-03-07T00:00:00+05:30,1703.1,1705,1675.5,1686,8019331,0,1715.85,1715.85,1675.5,40.35,-12.75,DOWN,-29.85,,,-230.75,,,,
